"""p""","""sumP"""
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":741,""class"":""business"",""idf"":739},{""name"":""CRP""}]",1283.25
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":752,""class"":""economy"",""idf"":751},{""name"":""ORF""}]",2646.8999999999996
"[{""name"":""LAX""},{""idt"":661,""class"":""business"",""idf"":659},{""name"":""LAS""},{""name"":""LAS""},{""idt"":360,""class"":""economy"",""idf"":359},{""name"":""IAD""}]",1853.25
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":740,""class"":""economy"",""idf"":739},{""name"":""CRP""}]",1586.75
"[{""name"":""LAX""},{""idt"":1005,""class"":""business"",""idf"":1003},{""name"":""SMF""}]",395
"[{""name"":""LAX""},{""idt"":662,""class"":""firstClass"",""idf"":659},{""name"":""LAS""}]",298.8
"[{""name"":""LAX""},{""idt"":964,""class"":""economy"",""idf"":963},{""name"":""FAT""}]",167.25
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":718,""class"":""firstClass"",""idf"":715},{""name"":""CRP""}]",1327.05
"[{""name"":""LAX""},{""idt"":661,""class"":""business"",""idf"":659},{""name"":""LAS""},{""name"":""LAS""},{""idt"":644,""class"":""economy"",""idf"":643},{""name"":""DEN""}]",739.5
"[{""name"":""LAX""},{""idt"":985,""class"":""business"",""idf"":983},{""name"":""TUS""}]",472
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":700,""class"":""economy"",""idf"":699},{""name"":""SFO""}]",2711
"[{""name"":""LAX""},{""idt"":1005,""class"":""business"",""idf"":1003},{""name"":""SMF""},{""name"":""SMF""},{""idt"":182,""class"":""firstClass"",""idf"":179},{""name"":""DEN""}]",1530.2
"[{""name"":""LAX""},{""idt"":660,""class"":""economy"",""idf"":659},{""name"":""LAS""},{""name"":""LAS""},{""idt"":645,""class"":""business"",""idf"":643},{""name"":""DEN""}]",840.75
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":82,""class"":""firstClass"",""idf"":79},{""name"":""EWR""}]",2812.6499999999996
"[{""name"":""LAX""},{""idt"":1004,""class"":""economy"",""idf"":1003},{""name"":""SMF""},{""name"":""SMF""},{""idt"":181,""class"":""business"",""idf"":179},{""name"":""DEN""}]",1242.25
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":762,""class"":""firstClass"",""idf"":759},{""name"":""TUL""}]",2251.2
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":293,""class"":""business"",""idf"":291},{""name"":""FLL""}]",2716.3999999999996
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":521,""class"":""business"",""idf"":519},{""name"":""BWI""}]",2712
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":881,""class"":""business"",""idf"":879},{""name"":""AUS""}]",1861.3999999999999
"[{""name"":""LAX""},{""idt"":662,""class"":""firstClass"",""idf"":659},{""name"":""LAS""},{""name"":""LAS""},{""idt"":646,""class"":""firstClass"",""idf"":643},{""name"":""DEN""}]",1083.6
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":744,""class"":""economy"",""idf"":743},{""name"":""CRP""}]",1230
"[{""name"":""LAX""},{""idt"":1001,""class"":""business"",""idf"":999},{""name"":""SMF""}]",394
"[{""name"":""LAX""},{""idt"":137,""class"":""business"",""idf"":135},{""name"":""EWR""}]",2540
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":237,""class"":""business"",""idf"":235},{""name"":""MCO""}]",1959.25
"[{""name"":""LAX""},{""idt"":977,""class"":""business"",""idf"":975},{""name"":""ABQ""}]",704
"[{""name"":""LAX""},{""idt"":924,""class"":""economy"",""idf"":923},{""name"":""ABQ""}]",528.75
"[{""name"":""LAX""},{""idt"":961,""class"":""business"",""idf"":959},{""name"":""FAT""}]",221
"[{""name"":""LAX""},{""idt"":136,""class"":""economy"",""idf"":135},{""name"":""EWR""},{""name"":""EWR""},{""idt"":150,""class"":""firstClass"",""idf"":147},{""name"":""ORD""}]",2813.4
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":725,""class"":""business"",""idf"":723},{""name"":""CRP""}]",1925.3999999999999
"[{""name"":""LAX""},{""idt"":662,""class"":""firstClass"",""idf"":659},{""name"":""LAS""},{""name"":""LAS""},{""idt"":361,""class"":""business"",""idf"":359},{""name"":""IAD""}]",2437.8
"[{""name"":""LAX""},{""idt"":1009,""class"":""business"",""idf"":1007},{""name"":""SMF""}]",393
"[{""name"":""LAX""},{""idt"":1002,""class"":""firstClass"",""idf"":999},{""name"":""SMF""},{""name"":""SMF""},{""idt"":180,""class"":""economy"",""idf"":179},{""name"":""DEN""}]",1182.3
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":88,""class"":""economy"",""idf"":87},{""name"":""MCO""}]",2379.8999999999996
"[{""name"":""LAX""},{""idt"":981,""class"":""business"",""idf"":979},{""name"":""TUS""}]",472
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":728,""class"":""economy"",""idf"":727},{""name"":""CRP""}]",1872.1499999999999
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":761,""class"":""business"",""idf"":759},{""name"":""TUL""}]",1876
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":450,""class"":""firstClass"",""idf"":447},{""name"":""MFE""}]",2112
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":90,""class"":""firstClass"",""idf"":87},{""name"":""MCO""}]",2495
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":529,""class"":""business"",""idf"":527},{""name"":""ORD""}]",2674.3999999999996
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":520,""class"":""economy"",""idf"":519},{""name"":""BWI""}]",2034
"[{""name"":""LAX""},{""idt"":1000,""class"":""economy"",""idf"":999},{""name"":""SMF""},{""name"":""SMF""},{""idt"":182,""class"":""firstClass"",""idf"":179},{""name"":""DEN""}]",1430.7
"[{""name"":""LAX""},{""idt"":972,""class"":""economy"",""idf"":971},{""name"":""ABQ""}]",529.5
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":882,""class"":""firstClass"",""idf"":879},{""name"":""AUS""}]",1605.8
"[{""name"":""LAX""},{""idt"":930,""class"":""firstClass"",""idf"":927},{""name"":""ABQ""}]",847.1999999999999
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":89,""class"":""business"",""idf"":87},{""name"":""MCO""}]",1960.25
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":737,""class"":""business"",""idf"":735},{""name"":""CRP""}]",1925.3999999999999
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":294,""class"":""firstClass"",""idf"":291},{""name"":""FLL""}]",2275.05
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":880,""class"":""economy"",""idf"":879},{""name"":""AUS""}]",1182
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":714,""class"":""firstClass"",""idf"":711},{""name"":""CRP""}]",1967.9999999999998
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":102,""class"":""firstClass"",""idf"":99},{""name"":""DFW""}]",1996.7999999999997
"[{""name"":""LAX""},{""idt"":958,""class"":""firstClass"",""idf"":955},{""name"":""FAT""}]",266.4
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":738,""class"":""firstClass"",""idf"":735},{""name"":""CRP""}]",1682.6
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":292,""class"":""economy"",""idf"":291},{""name"":""FLL""}]",2180
"[{""name"":""LAX""},{""idt"":986,""class"":""firstClass"",""idf"":983},{""name"":""TUS""}]",566.4
"[{""name"":""LAX""},{""idt"":922,""class"":""firstClass"",""idf"":919},{""name"":""ABQ""}]",848.4
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":236,""class"":""economy"",""idf"":235},{""name"":""MCO""}]",1737
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":448,""class"":""economy"",""idf"":447},{""name"":""MFE""}]",1676.75
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":729,""class"":""business"",""idf"":727},{""name"":""CRP""}]",1283.25
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":736,""class"":""economy"",""idf"":735},{""name"":""CRP""}]",1230
"[{""name"":""LAX""},{""idt"":1009,""class"":""business"",""idf"":1007},{""name"":""SMF""},{""name"":""SMF""},{""idt"":180,""class"":""economy"",""idf"":179},{""name"":""DEN""}]",1102.5
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":96,""class"":""economy"",""idf"":95},{""name"":""LGA""}]",2530.25
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":754,""class"":""firstClass"",""idf"":751},{""name"":""ORF""}]",2565.45
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":101,""class"":""business"",""idf"":99},{""name"":""DFW""}]",1307.25
"[{""name"":""LAX""},{""idt"":1001,""class"":""business"",""idf"":999},{""name"":""SMF""},{""name"":""SMF""},{""idt"":181,""class"":""business"",""idf"":179},{""name"":""DEN""}]",1340
"[{""name"":""LAX""},{""idt"":997,""class"":""business"",""idf"":995},{""name"":""SMF""},{""name"":""SMF""},{""idt"":180,""class"":""economy"",""idf"":179},{""name"":""DEN""}]",1102.5
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":720,""class"":""economy"",""idf"":719},{""name"":""CRP""}]",1872.1499999999999
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":745,""class"":""business"",""idf"":743},{""name"":""CRP""}]",1925.3999999999999
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":712,""class"":""economy"",""idf"":711},{""name"":""CRP""}]",1586.75
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":100,""class"":""economy"",""idf"":99},{""name"":""DFW""}]",1604.75
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":530,""class"":""firstClass"",""idf"":527},{""name"":""ORD""}]",2224.6499999999996
"[{""name"":""LAX""},{""idt"":969,""class"":""business"",""idf"":967},{""name"":""ABQ""}]",705
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":734,""class"":""firstClass"",""idf"":731},{""name"":""CRP""}]",1685
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":730,""class"":""firstClass"",""idf"":727},{""name"":""CRP""}]",1682.6
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":760,""class"":""economy"",""idf"":759},{""name"":""TUL""}]",1407
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":528,""class"":""economy"",""idf"":527},{""name"":""ORD""}]",2148.5
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":732,""class"":""economy"",""idf"":731},{""name"":""CRP""}]",1873.6499999999999
"[{""name"":""LAX""},{""idt"":544,""class"":""economy"",""idf"":543},{""name"":""EWR""},{""name"":""EWR""},{""idt"":150,""class"":""firstClass"",""idf"":147},{""name"":""ORD""}]",2815.65
"[{""name"":""LAX""},{""idt"":648,""class"":""economy"",""idf"":647},{""name"":""BOS""},{""name"":""BOS""},{""idt"":549,""class"":""business"",""idf"":547},{""name"":""IAD""}]",2467
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":716,""class"":""economy"",""idf"":715},{""name"":""CRP""}]",1587.5
"[{""name"":""LAX""},{""idt"":1008,""class"":""economy"",""idf"":1007},{""name"":""SMF""},{""name"":""SMF""},{""idt"":182,""class"":""firstClass"",""idf"":179},{""name"":""DEN""}]",1429.95
"[{""name"":""LAX""},{""idt"":648,""class"":""economy"",""idf"":647},{""name"":""BOS""},{""name"":""BOS""},{""idt"":628,""class"":""economy"",""idf"":627},{""name"":""IAD""}]",2352.75
"[{""name"":""LAX""},{""idt"":998,""class"":""firstClass"",""idf"":995},{""name"":""SMF""},{""name"":""SMF""},{""idt"":182,""class"":""firstClass"",""idf"":179},{""name"":""DEN""}]",1606.8
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":746,""class"":""firstClass"",""idf"":743},{""name"":""CRP""}]",1682.6
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":741,""class"":""business"",""idf"":739},{""name"":""CRP""}]",1925.3999999999999
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":733,""class"":""business"",""idf"":731},{""name"":""CRP""}]",1285.25
"[{""name"":""LAX""},{""idt"":934,""class"":""firstClass"",""idf"":931},{""name"":""ABQ""}]",846
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":721,""class"":""business"",""idf"":719},{""name"":""CRP""}]",1640
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":724,""class"":""economy"",""idf"":723},{""name"":""CRP""}]",1230
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":449,""class"":""business"",""idf"":447},{""name"":""MFE""}]",1403.25
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":713,""class"":""business"",""idf"":711},{""name"":""CRP""}]",1283.25
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":97,""class"":""business"",""idf"":95},{""name"":""LGA""}]",2541.25
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""}]",1712.3999999999999
"[{""name"":""LAX""},{""idt"":954,""class"":""firstClass"",""idf"":951},{""name"":""FAT""}]",265.2
"[{""name"":""LAX""},{""idt"":660,""class"":""economy"",""idf"":659},{""name"":""LAS""},{""name"":""LAS""},{""idt"":361,""class"":""business"",""idf"":359},{""name"":""IAD""}]",2325.75
"[{""name"":""LAX""},{""idt"":1006,""class"":""firstClass"",""idf"":1003},{""name"":""SMF""},{""name"":""SMF""},{""idt"":181,""class"":""business"",""idf"":179},{""name"":""DEN""}]",1420
"[{""name"":""LAX""},{""idt"":996,""class"":""economy"",""idf"":995},{""name"":""SMF""},{""name"":""SMF""},{""idt"":181,""class"":""business"",""idf"":179},{""name"":""DEN""}]",1240.75
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":753,""class"":""business"",""idf"":751},{""name"":""ORF""}]",2958.3999999999996
"[{""name"":""LAX""},{""idt"":660,""class"":""economy"",""idf"":659},{""name"":""LAS""},{""name"":""LAS""},{""idt"":646,""class"":""firstClass"",""idf"":643},{""name"":""DEN""}]",971.55
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":742,""class"":""firstClass"",""idf"":739},{""name"":""CRP""}]",1682.6
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":80,""class"":""economy"",""idf"":79},{""name"":""EWR""}]",2516
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":717,""class"":""business"",""idf"":715},{""name"":""CRP""}]",1284.25
"[{""name"":""LAX""},{""idt"":1004,""class"":""economy"",""idf"":1003},{""name"":""SMF""}]",296.25
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":744,""class"":""economy"",""idf"":743},{""name"":""CRP""}]",1872.1499999999999
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":722,""class"":""firstClass"",""idf"":719},{""name"":""CRP""}]",1325.85
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":237,""class"":""business"",""idf"":235},{""name"":""MCO""}]",2601.3999999999996
"[{""name"":""LAX""},{""idt"":661,""class"":""business"",""idf"":659},{""name"":""LAS""},{""name"":""LAS""},{""idt"":362,""class"":""firstClass"",""idf"":359},{""name"":""IAD""}]",2815.7999999999997
"[{""name"":""LAX""},{""idt"":1005,""class"":""business"",""idf"":1003},{""name"":""SMF""},{""name"":""SMF""},{""idt"":180,""class"":""economy"",""idf"":179},{""name"":""DEN""}]",1104.5
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":238,""class"":""firstClass"",""idf"":235},{""name"":""MCO""}]",2493.8
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":81,""class"":""business"",""idf"":79},{""name"":""EWR""}]",2522.25
"[{""name"":""LAX""},{""idt"":965,""class"":""business"",""idf"":963},{""name"":""FAT""}]",223
"[{""name"":""LAX""},{""idt"":1010,""class"":""firstClass"",""idf"":1007},{""name"":""SMF""},{""name"":""SMF""},{""idt"":181,""class"":""business"",""idf"":179},{""name"":""DEN""}]",1417.6
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":700,""class"":""economy"",""idf"":699},{""name"":""SFO""}]",2354.25
"[{""name"":""LAX""},{""idt"":1008,""class"":""economy"",""idf"":1007},{""name"":""SMF""}]",294.75
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":752,""class"":""economy"",""idf"":751},{""name"":""ORF""}]",2361.5
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":89,""class"":""business"",""idf"":87},{""name"":""MCO""}]",2602.3999999999996
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":520,""class"":""economy"",""idf"":519},{""name"":""BWI""}]",2676.1499999999996
"[{""name"":""LAX""},{""idt"":982,""class"":""firstClass"",""idf"":979},{""name"":""TUS""}]",566.4
"[{""name"":""LAX""},{""idt"":1004,""class"":""economy"",""idf"":1003},{""name"":""SMF""},{""name"":""SMF""},{""idt"":182,""class"":""firstClass"",""idf"":179},{""name"":""DEN""}]",1431.45
"[{""name"":""LAX""},{""idt"":661,""class"":""business"",""idf"":659},{""name"":""LAS""},{""name"":""LAS""},{""idt"":645,""class"":""business"",""idf"":643},{""name"":""DEN""}]",903
"[{""name"":""LAX""},{""idt"":976,""class"":""economy"",""idf"":975},{""name"":""ABQ""}]",528
"[{""name"":""LAX""},{""idt"":660,""class"":""economy"",""idf"":659},{""name"":""LAS""}]",186.75
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":522,""class"":""firstClass"",""idf"":519},{""name"":""BWI""}]",2969
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":294,""class"":""firstClass"",""idf"":291},{""name"":""FLL""}]",2917.2
"[{""name"":""LAX""},{""idt"":136,""class"":""economy"",""idf"":135},{""name"":""EWR""},{""name"":""EWR""},{""idt"":149,""class"":""business"",""idf"":147},{""name"":""ORD""}]",2662
"[{""name"":""LAX""},{""idt"":649,""class"":""business"",""idf"":647},{""name"":""BOS""}]",2700
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":880,""class"":""economy"",""idf"":879},{""name"":""AUS""}]",1824.1499999999999
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":726,""class"":""firstClass"",""idf"":723},{""name"":""CRP""}]",1967.9999999999998
"[{""name"":""LAX""},{""idt"":662,""class"":""firstClass"",""idf"":659},{""name"":""LAS""},{""name"":""LAS""},{""idt"":360,""class"":""economy"",""idf"":359},{""name"":""IAD""}]",1903.05
"[{""name"":""LAX""},{""idt"":662,""class"":""firstClass"",""idf"":659},{""name"":""LAS""},{""name"":""LAS""},{""idt"":644,""class"":""economy"",""idf"":643},{""name"":""DEN""}]",789.3
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":745,""class"":""business"",""idf"":743},{""name"":""CRP""}]",1640
"[{""name"":""LAX""},{""idt"":997,""class"":""business"",""idf"":995},{""name"":""SMF""}]",393
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":740,""class"":""economy"",""idf"":739},{""name"":""CRP""}]",1230
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":293,""class"":""business"",""idf"":291},{""name"":""FLL""}]",2431
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":88,""class"":""economy"",""idf"":87},{""name"":""MCO""}]",2094.5
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":521,""class"":""business"",""idf"":519},{""name"":""BWI""}]",2355.25
"[{""name"":""LAX""},{""idt"":974,""class"":""firstClass"",""idf"":971},{""name"":""ABQ""}]",847.1999999999999
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":881,""class"":""business"",""idf"":879},{""name"":""AUS""}]",1576
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":725,""class"":""business"",""idf"":723},{""name"":""CRP""}]",1640
"[{""name"":""LAX""},{""idt"":926,""class"":""firstClass"",""idf"":923},{""name"":""ABQ""}]",846
"[{""name"":""LAX""},{""idt"":1002,""class"":""firstClass"",""idf"":999},{""name"":""SMF""},{""name"":""SMF""},{""idt"":181,""class"":""business"",""idf"":179},{""name"":""DEN""}]",1418.8
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":729,""class"":""business"",""idf"":727},{""name"":""CRP""}]",1925.3999999999999
"[{""name"":""LAX""},{""idt"":962,""class"":""firstClass"",""idf"":959},{""name"":""FAT""}]",265.2
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":762,""class"":""firstClass"",""idf"":759},{""name"":""TUL""}]",1965.8
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":736,""class"":""economy"",""idf"":735},{""name"":""CRP""}]",1872.1499999999999
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":718,""class"":""firstClass"",""idf"":715},{""name"":""CRP""}]",1969.1999999999998
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":101,""class"":""business"",""idf"":99},{""name"":""DFW""}]",1949.3999999999999
"[{""name"":""LAX""},{""idt"":953,""class"":""business"",""idf"":951},{""name"":""FAT""}]",221
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":530,""class"":""firstClass"",""idf"":527},{""name"":""ORD""}]",2866.7999999999997
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":760,""class"":""economy"",""idf"":759},{""name"":""TUL""}]",2049.1499999999996
"[{""name"":""LAX""},{""idt"":1000,""class"":""economy"",""idf"":999},{""name"":""SMF""},{""name"":""SMF""},{""idt"":180,""class"":""economy"",""idf"":179},{""name"":""DEN""}]",1005
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":449,""class"":""business"",""idf"":447},{""name"":""MFE""}]",2045.3999999999999
